arquivo,tema,n_total,n_evangelico,n_catolico,chi2,p_value,erro
00279.sav,Mulher deve casar virgem (opinião por religião),1046.0,115.0,735.0,67.42868456746254,1.5160477023971793e-14,
00279.sav,Posição sobre casamento e sexualidade,1046.0,115.0,735.0,28.455015565649283,6.623261140970203e-07,
00282.sav,Mulher deve casar virgem (Papa e católicos),2328.0,240.0,1720.0,76.55283451860898,1.6836423203961857e-16,
00282.sav,Quem não acredita em Deus pode ir ao céu,2328.0,240.0,1720.0,19.478022287292585,0.0006329443014443625,
00282.sav,Pessoas de outra religião podem ir ao céu,2328.0,240.0,1720.0,15.586313370702785,0.0036276039562830476,
00526.sav,Posição sobre ensino religioso nas escolas,401.0,42.0,275.0,5.022153040610182,0.1701821584085947,
00533.sav,IURD exige doação de dinheiro,1079.0,148.0,708.0,24.48845002060871,6.374222123840343e-05,
00533.sav,IURD ameaça interesses da Igreja Católica e Globo,1079.0,148.0,708.0,31.12252881624795,2.8901622691134703e-06,
00533.sav,Favor ou contra inquérito contra Edir Macedo,1079.0,148.0,708.0,43.35662743497363,2.067221432689643e-09,
00849.sav,Posição sobre doação de órgãos (moralidade corporal),640.0,103.0,389.0,7.866853555465677,0.09657909738287554,
00853.sav,Importância da religião na vida,2038.0,314.0,1470.0,26.922139785415133,5.9068783933810734e-05,
00853.sav,,,,,,,Variável temática 'p19' não encontrada
00862.sav,,,,,,,Variável temática 'p1' não encontrada
01193.sav,Orgulho de ser brasileiro por religião,2000.0,288.0,1491.0,63.24116502267287,0.0011840102625361654,
01825.sav,Confiança em igrejas e padres católicos,4935.0,767.0,3563.0,136.36500314092422,1.0595168400794855e-27,
01825.sav,Confiança em igrejas e pastores evangélicos,4935.0,767.0,3563.0,124.10745188306882,4.2303853047452605e-25,
01825.sav,Membro de grupo religioso,4935.0,767.0,3563.0,67.19008562784157,1.7052031823229632e-14,
01827.sav,,,,,,,Variável temática 'p179' não encontrada
01827.sav,,,,,,,Variável temática 'p180' não encontrada
01827.sav,,,,,,,Variável temática 'p181' não encontrada
01827.sav,,,,,,,Variável temática 'p182a' não encontrada
01864.sav,Avaliação da atuação da Igreja Católica,2364.0,367.0,1674.0,170.26408292387165,6.408508136945741e-35,
01864.sav,Confiança na Igreja Católica,2364.0,367.0,1674.0,304.52503143903317,1.0432787469820528e-65,
01864.sav,Frequência a missa/culto religioso,2364.0,367.0,1674.0,385.6213854673294,3.5543306586205226e-82,
01864.sav,Definição de esquerda por religião,2364.0,367.0,1674.0,11.388741177321448,0.835656695772265,
02303.sav,Sentimento ao encontrar gente muito religiosa,5003.0,1111.0,3297.0,6.245384138299973,0.5114072435704997,
02303.sav,Não se sente à vontade em casas noturnas por religião,5003.0,1111.0,3297.0,233.95991602017426,1.514738160712238e-48,
02303.sav,Não se sente à vontade em bares por religião,5003.0,1111.0,3297.0,277.5309114549298,6.751498629399615e-58,
02303.sav,Participação em grupo religioso,5003.0,1111.0,3297.0,55.215279547961764,1.1787942077143062e-10,
02330.sav,Confiança na Igreja,2004.0,403.0,1336.0,21.719837175069088,0.0005918496178167522,
02330.sav,Confiança nas pessoas que frequentam sua igreja,2004.0,403.0,1336.0,31.871797416308052,6.29883960423706e-06,
02330.sav,Avaliação da atuação da Igreja,2004.0,403.0,1336.0,25.867114672348222,0.00023569624805296123,
02330.sav,Participa de grupo religioso,2004.0,403.0,1336.0,77.84841204450447,1.245753488686857e-17,
02483.sav,Confiança em igrejas e padres católicos,2379.0,564.0,1556.0,136.13573244121602,1.1852586738789253e-27,
02483.sav,Confiança em igrejas e pastores evangélicos,2379.0,564.0,1556.0,140.588975185256,2.1112899592142e-29,
02632.sav,Confiança na Igreja Católica,1214.0,206.0,815.0,174.14670962617998,3.350911698021386e-34,
02632.sav,Frequência a reuniões de organização religiosa,1214.0,206.0,815.0,136.10791872526286,1.921894580001805e-28,
02632.sav,Pediu ajuda a alguma igreja para resolver problemas,1214.0,206.0,815.0,3.407073485036444,0.18203856067283905,
02636.sav,Já sofreu preconceito por causa da religião,2982.0,669.0,1913.0,235.18485584999857,8.516427204442388e-52,
02636.sav,Participa de movimentos ligados à Igreja,2982.0,669.0,1913.0,77.80409822967249,9.07766381776351e-17,
03192.sav,Importância da religião na vida,2002.0,390.0,1243.0,118.5066852353709,6.501003501732451e-24,
03192.sav,Deve fazer o que a Igreja aconselha ou só quando concorda,2002.0,390.0,1243.0,36.55709598083531,2.2222954211364247e-07,
03192.sav,Confiança na Igreja,2002.0,390.0,1243.0,14.11282872662085,0.014908376405685922,
03192.sav,Frequência a cerimônias religiosas,2002.0,390.0,1243.0,270.6181745974722,1.1240607463008947e-54,
03369.sav,Posição sobre sexualidade dos brasileiros,2158.0,506.0,1333.0,2.7981633461663264,0.4238023522304296,
03370.sav,Existem casos de corrupção na Igreja Católica,2123.0,488.0,1258.0,25.971491421607062,2.292779523252777e-06,
03370.sav,Existem casos de corrupção nas igrejas evangélicas,2123.0,488.0,1258.0,29.754014111824088,3.4593772767241017e-07,
03932.sav,Sentimento ao encontrar gente muito religiosa,2014.0,509.0,1160.0,10.169879569266584,0.1791492189017818,
04722.sav,Confiança nas Igrejas (ICS 2020),2002.0,426.0,1080.0,16.19377011997295,0.002769875221569104,
04820.sav,Confiança nas igrejas (Cara da Democracia 2018),2500.0,680.0,1484.0,20.793710123075726,0.0008860628842592176,
04820.sav,Grau de religiosidade,2500.0,680.0,1484.0,62.05078512643289,1.0748247859094938e-12,
04820.sav,Frequência a missa ou culto religioso,2500.0,680.0,1484.0,333.1727293789988,6.30846769050893e-69,
04825.sav,Confiança nas igrejas (Cara da Democracia 2020),1000.0,244.0,515.0,7.788864081591963,0.099625831064101,
00322.SAV,Democracia é sempre melhor (cultura política 1993),2526.0,230.0,1668.0,4.866675230742811,0.30125302232630824,
00322.SAV,Confiança no governo do Brasil,2526.0,230.0,1668.0,2.378341255177935,0.6665448403031431,
00322.SAV,Confiança nas igrejas,2526.0,230.0,1668.0,5.040555290304972,0.28316152563815267,
00322.SAV,Confiança no governo federal,2526.0,230.0,1668.0,1.5075996923602413,0.8252944299534448,
00322.SAV,Confiança nos partidos políticos,2526.0,230.0,1668.0,5.493621680277069,0.24029070816848544,
00322.SAV,Partidos são indispensáveis à democracia,2526.0,230.0,1668.0,7.895955901026082,0.04821164264780508,
00387.SAV,,,,,,,Variável temática 'p5' não encontrada
00499.SAV,Brancos têm preconceito contra negros (preconceito 1995),5081.0,608.0,3741.0,1.4620592756715225,0.9174061971158745,
00499.SAV,Casamento filho com pessoa negra,5081.0,608.0,3741.0,19.865706770803374,0.005867175710893664,
00828.SAV,Favor ou contra aborto em caso de estupro,1080.0,188.0,673.0,20.683103064489117,0.00012249555345970843,
00828.SAV,Projeto de lei para ampliar aborto,1080.0,188.0,673.0,5.561432752982475,0.23438203487865483,
00828.SAV,Favor ou contra aborto quando mãe tem AIDS,1080.0,188.0,673.0,29.82251183711276,1.5039318134744136e-06,
00828.SAV,Favor ou contra aborto quando má formação feto,1080.0,188.0,673.0,2.795826881238918,0.42418734752171583,
00828.SAV,Mais importante: acesso ao aborto ou normas morais/religiosas,1080.0,188.0,673.0,25.193768757847703,1.406506172683521e-05,
00828.SAV,Papa deve falar sobre projeto do aborto na visita,1080.0,188.0,673.0,10.282996184016756,0.016307580531137258,
02637.SAV,Posição sobre aborto (jovens brasileiros),1541.0,376.0,906.0,1.0757982568852407,0.956223397794626,
02637.SAV,Pena de morte (jovens brasileiros),1541.0,376.0,906.0,16.940629340630675,0.0007268928023924206,
02637.SAV,Importância da família na vida (jovens),1541.0,376.0,906.0,36.90990105776841,6.243801596247398e-07,
02637.SAV,Importância da religião na vida (jovens),1541.0,376.0,906.0,3.702758215093844,0.5929535516998087,
04752.SAV,Posição sobre diversidade sexual LGBTQIA+,800.0,4.0,18.0,1.9453703703703706,0.5838223483275151,
04748.SAV,,,,,,,Variável temática 'P2' não encontrada
04829.SAV,Percepção sobre racismo no Brasil 2023,2000.0,15.0,62.0,0.9052329749103943,0.8241647915450877,
04843.SAV,,,,,,,Variável de religião 'RELIGIAO' não encontrada
