;freq_inv_z;pert_r_z;import_relig_z;relig_r;GrupoEv;dummy_ethnic;dummy_sex;escol_z;ano_ord;ameaca_tipo_moral;ameaca_tipo_inst
freq_inv_z;1.0;0.013223282803675244;0.3602675282562388;0.3158503807235417;0.26205691003324316;-0.0012923013404662603;-0.1519684487078744;-0.05328718000882747;0.003481881913797754;0.0017759109818224956;-0.0017759109818224897
pert_r_z;0.013223282803675244;1.0;-0.028384806251009784;-0.00616139280678524;-0.0029890187035699367;0.007569907509300138;0.12832417345535518;0.11268945637919808;0.004694503600390532;0.004949455756018394;-0.004949455756018297
import_relig_z;0.3602675282562388;-0.028384806251009784;1.0;0.34141579364257557;0.1368127627605864;-0.012925125667856913;-0.14819998577685126;-0.08754490376068313;0.01327330637804399;0.009359417901865254;-0.009359417901865317
relig_r;0.3158503807235417;-0.00616139280678524;0.34141579364257557;1.0;0.07395635624738152;0.041317325145976205;-0.08482090813034969;-0.05954560966566776;-0.09929422894077228;-0.056231024599106644;0.05623102459910653
GrupoEv;0.26205691003324316;-0.0029890187035699367;0.1368127627605864;0.07395635624738152;1.0;-0.13402020680633794;-0.0741701142830662;-0.038323026580256624;0.2687938489436969;0.28178521197482437;-0.2817852119748243
dummy_ethnic;-0.0012923013404662603;0.007569907509300138;-0.012925125667856913;0.041317325145976205;-0.13402020680633794;1.0;0.015687011110397806;0.11602778753551013;-0.2999791097364702;-0.3011226537425346;0.30112265374253444
dummy_sex;-0.1519684487078744;0.12832417345535518;-0.14819998577685126;-0.08482090813034969;-0.0741701142830662;0.015687011110397806;1.0;-0.0028494602366147693;-0.06070586154976307;-0.08036617449176513;0.08036617449176509
escol_z;-0.05328718000882747;0.11268945637919808;-0.08754490376068313;-0.05954560966566776;-0.038323026580256624;0.11602778753551013;-0.0028494602366147693;1.0;0.00503740300220943;0.004678129903737697;-0.004678129903737673
ano_ord;0.003481881913797754;0.004694503600390532;0.01327330637804399;-0.09929422894077228;0.2687938489436969;-0.2999791097364702;-0.06070586154976307;0.00503740300220943;1.0;0.8713473688112195;-0.8713473688112191
ameaca_tipo_moral;0.0017759109818224956;0.004949455756018394;0.009359417901865254;-0.056231024599106644;0.28178521197482437;-0.3011226537425346;-0.08036617449176513;0.004678129903737697;0.8713473688112195;1.0;-0.9999999999999999
ameaca_tipo_inst;-0.0017759109818224897;-0.004949455756018297;-0.009359417901865317;0.05623102459910653;-0.2817852119748243;0.30112265374253444;0.08036617449176509;-0.004678129903737673;-0.8713473688112191;-0.9999999999999999;1.0
