Variável_Dependente;Variável;Nome_Legível;Coeficiente;Erro_Padrão;t_estatística;p_valor;IC_95_inf;IC_95_sup;Significância
y_moral_inv;const;Constante;-0.07135503663325732;0.026873773100063687;-2.655192345621472;0.007943826458751876;-0.12403554955232951;-0.018674523714185126;**
y_moral_inv;freq_inv_z;Frequência a serviços religiosos;0.11050446257297869;0.009956149729663185;11.099116181805057;2.154983299023723e-28;0.09098747578795238;0.130021449358005;***
y_moral_inv;pert_r_z;Pertencimento a org. religiosa;0.0012823835204391612;0.008501362601140577;0.1508444681876187;0.8801026468837152;-0.015382791878323209;0.017947558919201533;
y_moral_inv;import_relig_z;Importância da religião;0.06270817179827821;0.009661773808452425;6.4903373895401195;9.1348278843675e-11;0.043768248548865754;0.08164809504769067;***
y_moral_inv;relig_r;Autoidentificação religiosa (1=Religioso);0.03369293891532067;0.025643678347402693;1.3138886886222874;0.18892566610570619;-0.016576225873812633;0.08396210370445398;
y_moral_inv;GrupoEv;Evangélico;0.13867253060079981;0.024497416320646007;5.6607002463328735;1.5657446200171778e-08;0.0906503770997485;0.18669468410185114;***
y_moral_inv;ameaca_tipo_inst;Ameaça institucional;0.02827302641731141;0.01892564197443306;1.493900521604809;0.13524558916742396;-0.008826807789947443;0.06537286062457026;
y_moral_inv;dummy_sex;Sexo (1=Masculino);0.03058267152092719;0.01773224899356027;1.7246921996208004;0.08462601811942545;-0.004177760842299205;0.06534310388415358;.
y_moral_inv;dummy_ethnic;Raça/Etnia (1=Branco);0.0014463264145819239;0.01827428697036264;0.0791454362584754;0.9369191507508383;-0.03437666008025978;0.037269312909423626;
y_moral_inv;escol_z;Escolaridade;-0.1030659656465424;0.008732180724558015;-11.803004186191892;7.412381607944433e-32;-0.12018361257162793;-0.08594831872145686;***
y_intitucional_4vars;const;Constante;0.03902278187878342;0.024179940381359743;1.613849383552078;0.10660406799727398;-0.008377025245419716;0.08642258900298655;
y_intitucional_4vars;freq_inv_z;Frequência a serviços religiosos;-0.04383272012034286;0.009162510613086842;-4.783920256281772;1.7534220091074583e-06;-0.06179394041220852;-0.0258714998284772;***
y_intitucional_4vars;pert_r_z;Pertencimento a org. religiosa;-0.008591003007519742;0.007469642596577525;-1.1501223648178305;0.2501318022891063;-0.023233703228461983;0.0060516972134225;
y_intitucional_4vars;import_relig_z;Importância da religião;-0.04189076274170528;0.008632868404307305;-4.852473219770638;1.2450464172919948e-06;-0.05881372825936396;-0.0249677972240466;***
y_intitucional_4vars;relig_r;Autoidentificação religiosa (1=Religioso);-0.08602969832893761;0.022540819382952715;-3.816618059323992;0.00013643105120791083;-0.1302163453728281;-0.04184305128504711;***
y_intitucional_4vars;GrupoEv;Evangélico;0.10450507497189693;0.02318586312140846;4.507275593954624;6.670707776175201e-06;0.05905395215564069;0.14995619778815317;***
y_intitucional_4vars;ameaca_tipo_inst;Ameaça institucional;0.018747373842494378;0.01751216412306059;1.070534384599972;0.28441484518773713;-0.015581627332395334;0.05307637501738409;
y_intitucional_4vars;dummy_sex;Sexo (1=Masculino);-0.030297710166966356;0.016004830771576887;-1.89303533410502;0.05839336933855308;-0.06167189387724045;0.0010764735433077405;.
y_intitucional_4vars;dummy_ethnic;Raça/Etnia (1=Branco);0.031605341565394796;0.016947339320746258;1.8649146610704133;0.06223415443362621;-0.0016164365863436947;0.06482711971713329;.
y_intitucional_4vars;escol_z;Escolaridade;0.055890772116554646;0.007912230819551398;7.063845000381764;1.7716979020523767e-12;0.04038046858172757;0.07140107565138172;***
