tema,correlacao_tempo,tendencia,valor_inicial,valor_final,variacao_percentual
educacao,-0.07722757302934312,estavel,34.72905322122682,28.516134362565197,-17.88968682527807
economia,-0.8963719412778711,decrescente,199.59969572426067,65.91421235008607,-66.97679717851673
armas_seguranca,0.11141579024464943,crescente,18.78044749978747,13.746703929950638,-26.803107699610447
religiao,0.23569135071034408,crescente,6.699693073614386,8.082770069343097,20.64388592927827
moralidade_sexualidade,0.3409139990352671,crescente,10.460437950348767,11.595532483242378,10.851309842679816
democracia,-0.38596949827373905,decrescente,227.38922917612788,136.63230424696843,-39.912587442240834
corrupcao,0.8108726204822992,crescente,1.1024949692867272,30.421829978819083,2659.3622489271643
fake_news,0.7329173384371573,crescente,3.1701546799012625,22.267727332087212,602.4176918957394
saude,0.7803580547983304,crescente,7.112196132025703,53.84126016858365,657.027213101455
previdencia,-0.5705519337379978,decrescente,17.594689987966458,1.630710047335029,-90.7318057411053
infraestrutura,0.3804475535878603,crescente,11.397599141786818,15.268778479901401,33.964866547391956
agricultura,-0.9672840525310236,decrescente,18.707762523883336,5.949070714808215,-68.19998806798348
meio_ambiente,0.16983507052525318,crescente,4.979466677966252,5.530232353062885,11.060736233736188
internacional,-0.9294097146797249,decrescente,15.48326317048504,2.500089254746109,-83.85295640061261
